unidade_origem,unidade_responsavel,dia_semana,mes_fato,ano_fato,data_fato,consolidado,especificacao_crime,causa_presumivel,meio_empregado_sisp,bairros,local_ocorrencia,vit_fx_etaria,vit_sexo,vit_cor_pele,vit_grau_inst,grau_de_relacionamento,relato,aut_sexo,turno,periodo,consolidado_stratified
Nao informado,Nao informado,SAB,NOVEMBRO,2021,2021-11-27,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,CAMPINA,CASA COMERCIAL,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,NAO INFORMADO,"<P>A RELATORA VEM A ESTA SECCIONAL URBANA DO COMERCIO, NA QUALIDADE DE GERENTE DA LOJA MEGAMODA INFORMAR QUE NA DATA, HORA E LOCAL SUPRA, ESTAVA EM SEU LOCAL DE TRABALHO, QUANDO O NACIONAL DE PRENOME DAIVISON QUE NA TRABALHA NA LOJA EM FRENTE SAPATARIA PARAIBANA E COMPANHEIRO DE SUA FUNCIONARIA EROANA MARQUES, COMECOU A LHE AMEACAR COM AS TEXTUAIS “SE ACONTECER ALGO COM ELA TU VAIS VER O QUE VAI TE ACONTECER, VOU TE PROCESSAR”. INFORMA QUE A REFERIDA NACIONAL ESTA GRAVIDA E JA FALTOU SERVICO POR CONTA DISSO. RELATA QUE O REFERIDO NACIONAL PERTURBA A TRANQUILIDADE DO LOCAL, SEMPRE ATACANDO VERBALMENTE SUA PESSOA E DE SEUS FUNCIONARIOS. REGISTRA-SE.///</P>",Nao informado,MANHA,2 SEMESTRE DE 2021,AMEACA
Nao informado,Nao informado,QUA,JULHO,2021,2021-07-07,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,UMARIZAL,VIA PUBLICA,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,NAO INFORMADO,"<P>A CIDADA ACIMA IDENTIFICADA SENTIU-SE AMEACADA NA TARDE DE HOJE 07/07/2021, POR UM HOMEM QUE SE IDENTIFICOU COM O PRE-NOME JORGE, QUE SE TITULOU COMO ADVOGADO DA OBRA EM CONSTRUCAO QUE FICA AO LADO DA RESIDENCIA DA DEPOENTE; QUE O CITADO NACIONAL JORGE, ESTEVE NA SEGUNDA-FEIRA DO DIA 05/07/2021, E NA OCASIAO MANTEVE UMA CONVERSA COM A DEPOENTE SOBRE ALGUNS PROBLEMAS QUE A CONSTRUCAO ESTARIA TRAZENDO AO IMOVEL DA DEPOENTE, INCLUSIVE O MESMO PRONTIFICOU-SE A RESOLVER E TRAZER UM TERMO PARA A DEPOENTE ASSINAR REFERENTE A RESOLUCAO DO CONFLITO, POREM JA NA TARDE DE HOJE 07/07/2021, JORGE CHEGOU NA FRENTE DO IMOVEL DA DEPOENTE DIZENDO QUE QUERIA FALAR COM O SEU ESPOSO, TENDO A RELATOR DITO QUE ERA A PESSOA COM QUEM DEVERIA TRATAR QUALQUER ASSUNTO, FOI NESTE MOMENTO QUE JORGE EMPREGOU A SEGUINTE EXPRESSAO ""AMANHA EU VOU CONTINUAR ESSA OBRA, SE TU NAO DEIXAR CONTINUAR TUA VAI VER, TU MEXEU COM A PESSOA ERRADA"". A RELATORA NAO SABE INFORMAR ONDE O NACIONAL JORGE PODE SER ENCONTRADO.&NBSP;REGISTRA-SE PARA PROVIDENCIAS.&NBSP;</P>",Nao informado,TARDE,2 SEMESTRE DE 2021,AMEACA
Nao informado,Nao informado,SEG,MAIO,2021,2021-05-10,LESAO CORPORAL,VIOLENCIA DOMESTICA,OUTRAS,SEM INSTRUMENTO,PARQUE VERDE,RESIDENCIA PARTICULAR,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL INCOMPLETO,EX-COMPANHEIRO(A),"<P>A CIDADA ACIMA IDENTIFICADA COMUNICA QUE FOI VITIA DE VIOLENCIA DOMESTICA E FAMILIAR PRATICADO PELO EX-MARIDO DIEGO FERREIRA DA SILVA MORADOR NA RUA DOM PEDRO I,CASA DE Nº. NAO SABIDO&NBSP; NO BAIRRO COQUEIRO-ANANINDEUA PROXIMO DO SUPERMERCADO MIX PROXIMO DA RODOVIA MARIO COVAS, O QUAL POR MOTIVO PROPRIOS LHE AGREDIU FISICAMENTE DEPOIS QUE ENTROU NA CASA AONDE MORA PARA LHE ENTREGAR UM FILHO E UMA FILHA DO RELACIONAMENTO AMOROSO DE UNIAO ESTAVEL POR QUATRO ANOS, PORQUE DEIXOU O FILHO E A FILHA COM O MESMO E SAIU, REVOLTOU-SE O DIEGO E LHE AGREDIU FISICSMENTE COM UM SOCO NO SEU ROSTO. &NBSP;REGISTRA-SE PARA FINS DE DIREITO.&NBSP;&NBSP;</P>",M,MANHA,1 SEMESTRE DE 2021,LESAO CORPORAL
Nao informado,Nao informado,SAB,MAIO,2021,2021-05-01,AMEACA,Nao informado,ÓDIO OU VINGANÇA,ARMA CORTANTE OU PERFURANTE,MARACANGALHA,RESIDENCIA PARTICULAR,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO SUPERIOR COMPLETO,NAO INFORMADO,"<P>QUE COMPARECEU A ESTA ESPECIALIZADA PARA DENUNCIAR SUA SOBRINHA <B>RAQUEL DA CRUZ OLIVEIRA</B> E O MARIDO DE SUA SOBRINHA <B>ERIVALDO LEAL SANTOS</B>, AMBOS RESIDENTE NO CONJUNTO PROVIDENCIA, AV. OESTE, Nº282, BAIRRO: VAL-DE-CANS. RELATA QUE NO DIA 01/05/2021 POR VOLTA DE 13:00 ERIVALDO PUXOU UM CANIVETE E DISSE: “EU VOU TE MATAR, EU VOU TE MATAR, VOU FURAR O PNEU DO TEU CARRO”. RELATA QUE DIVIDEM UM TERRENO DE FAMILIA E QUE JA ESTA NA JUSTICA PARA DIVISAO, NAO RESIDEM NA MESMA RESIDENCIA, APENAS NO MESMO TERRENO EM CASAS SEPARADAS. DESEJA REPRESENTAR CRIMINALMENTE CONTRA RAQUEL DA CRUZ OLIVEIRA E O MARIDO DE SUA SOBRINHA ERIVALDO LEAL SANTOS, AMBOS RESIDENTE NO CONJUNTO PROVIDENCIA, AV. OESTE, Nº282, BAIRRO: VAL-DE-CANS. FOI OFERECIDO ABRIGO E A RELATORA NAO TEM INTERESSE, FOI OFERECIDO MEDIDAS PROTETIVAS E A RELATORA NAO TEM INTERESSE, APENAS DESEJA QUE SEJAM CHAMADOS NESTA ESPECIALIZADA. PROCEDIMENTO REGISTRADO POR ORDEM DA DPC JANICE. REGISTRA-SE////////////////</P>",Nao informado,TARDE,1 SEMESTRE DE 2021,AMEACA
Nao informado,Nao informado,TER,FEVEREIRO,2023,2023-02-14,LESAO CORPORAL,Nao informado,OUTRAS,OUTROS MEIOS,PARQUE VERDE,RESIDENCIA PARTICULAR,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO SUPERIOR COMPLETO,NAO INFORMADO,"<P>COMUNICA A RELATORA QUE NO DIA 14/02/2023, POR VOLTA DE 22 H., FOI AGREDIDA COM EMPURROES PRATICADOS POR FRANCISCA OU FRANCIANE, TENDO CAIDO NO CHAO, RESTANDO COM LESOES DIVERSAS. O FATO OCORREU QUANDO A RELATORA E DEMAIS MORADORES DO CONDOMINIO COSTA DOURADA COLOCAVAM A INVASORA PARA FORA, APOS ELA TER ENTRADO A FORCA NO LOCAL, NA OCASIAO, PROPOSITALMENTE O VEICULO TIPO TOYOTA HILUX, PLACA OTD7390, PRATA, DERRUBOU O PORTAO DO CONDOMINIO, APOS ISSO O MOTORISTA FUGIU, QUE QUANDO O PORTAO CAIU NO CHAO, POR POUCO NAO MACHUCOU A PERNA DO PORTEIRO WILLIAN CONCEICAO MESQUITA, QUE NA MANHA DAQUELA DATA A RELATADA NA COMPANHIA DE OUTRAS PESSOAS, INVADIRAM O BLOCO 08 DO REFERIDO CONDOMINIO, CONTUDO, OS MORADORES CONSEGUIRAM TIRA-LOS DE LA, QUE A ACAO CRIMINOSA FOI FILMADA, QUE O AUTOMOVEL TOYOTA HILUX BATEU EM UM CARRO QUE ESTAVA EM FRENTE AO CONDOMINIO. REGISTRA-SE. //////</P>",F,NOITE,1 SEMESTRE DE 2023,LESAO CORPORAL
DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,TER,NOVEMBRO,2020,2020-11-17,LESAO CORPORAL,VIOLENCIA DOMESTICA,AMBIÇÃO,SEM INSTRUMENTO,PEDREIRA,RESIDENCIA PARTICULAR,ADULTO III (30 A 34 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,EX-COMPANHEIRO(A),"<p>A relatora comunica que foi agredida por seu ex-companheiro, LINDOMAR NASCIMENTO DE ALMEIDA JÚNIOR, 31anos, natural de Belém/PA, nascido aos 17/07/1989, filho de Rosana Soares dos Santos e LINDOMAR Nascimento de Almeida, RG 5786036 PC/PA, Endereço Engenheiro Fernando Gilho&nbsp; 2296 -&nbsp; entre 14 de abrilCremação - Belém/PA, com quem conviveu por 13anos, tendo um filho desse relacionamento de aproximadamente 2anos; QUE estão separados a aproximadamente um mês; QUE o relacionamento foi muito conturbado com brigas e agressões causada por ciumes de LINDOMAR; QUE devido LINDOMAR esta desempregado, e a depoente ter emprego e a necessidade de alguém ficar com a criança, filho do casal, combinaram entre si, que quando a depoente saísse para trabalha LIMDOMAR ficaria cuidando da criança; QUE LINDOMAR ficava com o filho na casa da depoente; QUE hoje, 17/11/2020 a depoente chegou do trabalho, por volta de 21horas e LIMDOMAR achou que ela havia demorado muito e que estava na safadeza; QUE discutiram e LIMDOMAR a agrediu com socos e pontapés; QUE a depoente foi pra cima dele também como forma de defesa o agrediu; QUE a depoente apresenta lesão na testa e escoriações nos braços; QUE essa não é a primeira vez que LINDOMAR a agrIde; QUE solicita medidas protetivas de urgência das quais as seguintes,</p><p>III – PROIBIÇÃO DE DETERMINADAS CONDUTAS ENTRE AS QUAIS:</p><p>a) Aproximação da ofendida, de seus familiares e das testemunhas, fixando o limite mínimo de distância entre esta e o agressor.</p><p>b) Contato com a ofendida, seus familiares e testemunhas por qualquer meio de comunicação;</p><p>c) frequentar determinados lugares (RESIDÊNCIA DA VITIMA&nbsp; e local de Av Bras de Aguiar, 264 entre Dr. Moraes e Banjamim - bairro Nazare - Belém/PA) a fim de preservar a integridade física e psicológica da ofendida. ; QUE foi oferecido proteção do estado, Abrigo publico, mas a depoente não aceitou, pois tem seu trabalho e teme ficar desempregada; QUE REPRESENTA CRIMINALMENTE em desfavor de LINDOMAR NASCIMENTO DE ALMEIDA JUNIOR. REGISTRA-SE</p>",M,NOITE,2 SEMESTRE DE 2020,LESAO CORPORAL
DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,DOM,MAIO,2019,2019-05-19,AMEACA,Nao informado,OUTRAS,SEM INSTRUMENTO,CONDOR,RESIDENCIA PARTICULAR,ADULTO III (30 A 34 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,NAO INFORMADO,"<p>A declarante veio denunciar seu cunhado JOSÉ AUGUSTO BENÍCIO DOS SANTOS, 36 anos de idade, residentes no mesmo endereço nos fundos o Conjunto Radional II, Qd-F, casa 10-Fundos, entre Bernardo Sayão e Roberto Camelier, bairro Con dor/Belém. Declara que a relação com o cunhado sempre foi de conflitos. QUE, no dia 19/05 por volta de 08h, a declarante conta que foi abordada de forma grosseira pelo requerido o qual lhe dizia: “Tu vais ver só o que vou fazer contigo...não te mete na minha vida...Tu vai ver que vou te matar”. Declara que REPRESENTA CRIMINALMENTE. NÃO TEM TESTEMUNHA DO FATO. NÃO ACEITA CASA ABRIGO. Quanto as Medidas Protetivas solicita: III – PROIBIÇÃO DE DETERMINADAS CONDUTAS ENTRE AS QUAIS:a) Aproximação da ofendida, fixando o limite mínimo de distância entre esta e o agressor; b) Contato com a ofendida, por qualquer meio de comunicação; c) Proibição de frequentar determinados lugares RESIDÊNCIA Conjunto Radional II, Quadra F, n.10, entre Bernardo Sayão e Roberto Camelier, bairro Condor/Belém, a fim de preservar a integridade física e psicológica da ofendida.</p><p><br></p>",Nao informado,MANHA,1 SEMESTRE DE 2019,AMEACA
Nao informado,Nao informado,QUI,MARCO,2021,2021-03-25,AMEACA,Nao informado,OUTRAS,SEM INSTRUMENTO,NAZARE,VIA PUBLICA,ADULTO III (30 A 34 ANOS),F,PREJUDICADO,NAO INFORMADO,NAO INFORMADO,"O RELATOR ACIMA QUALIFICADO COMUNICA, ATRAVES DA DELEGACIA VIRTUAL, QUE NO DIA E HORA ACIMA MENCIONADOS FOI VITIMA DE AMEACA, CONFORME O SEGUINTE RELATO: A RELATORA MARCOU COM SUA EX PATROA CRISTINA MARCIA SOARES PICANCO, PARA RECEBER SUA RESCISAO DE CONTRATO EM VIA PUBLICA, NA AV. GENTIL BITENCOURT EM FRENTE A CASA DE SHOW BOTEQUIM, CONFORME SOLICITADO PELA SRA. CRISTINA MARCIA SOARES PICANCO, HORA DO PAGAMENTO A SRA. CRISTINA MARCIA SOARES PICANCO, JUNTO COM SUA ADVOGADA, APRESENTOU UM VALOR MENOR DO QUE DE DIREITO, CONFORTE CALCULADO ANTERIORMENTE PELO CONTADOR DA RELATORA, TRAZENDO ASSIM UMA DISCURSAO, NESTE MOMENTO  SRA. CRISTINA COM SUA ADVOGADA, FIZERAM UM RECIBO DE PROPRIO PUNHO, COM O VALOR CALCULADO PELO CONTADOR DA RELATORA, FAZENDO COM QUE ELA ASSINASSE O RECIBO, NA HORA DO PAGAMENTO A SRA. CRISTINA MARCIA SOARES PICANCO, NAO APRESENTOU O VALOR TOTAL, APENAS DEPOSITANDO UMA PARTE DO VALOR ATRAVES DO PIX DA RELATORA SEM SUA ANUENCIA, ALEM DE AGREDI-LA FISICAMENTE POR CONTA DA RECUSA DO RECEBIMENTO DO VALOR MENOR DO QUE ACORDADO, E A NAO ACEITACAO DO PARCELAMENTO DO VALOR DA RESCISAO.",Nao informado,TARDE,1 SEMESTRE DE 2021,AMEACA
GUAMA - 11ª SECCIONAL - 1ª RISP - 5ª AISP,GUAMA - 11ª SECCIONAL - 1ª RISP - 5ª AISP,TER,JUNHO,2019,2019-06-25,AMEACA,Nao informado,ÓDIO OU VINGANÇA,SEM INSTRUMENTO,GUAMA,RESIDENCIA PARTICULAR,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,NAO INFORMADO,"<p>Comunica que é casada há 25 anos com o cidadão MARCELO MACEDO DE MELO, com o qual possui tres filhos,todos ainda menores de idade( de 15,11 e 9). Ocorre que o esposo da relatora tornou-se dependente quimico e isso tem causado transtornos na família, pois já pegou objetos da casa para adquirir drogas para consumo próprio, sempre sob alegação de que é ele quem adquire os bens para dentro de casa.No dia de ontem, um indivíduo de identidade desconhecida foi à residencia da relatora à procura de seu esposo, retornando em seguida já que antes o esposo a fizera mentir e informasse que ele não se encontrava.Na segunda ocasião o indivíduo efetuou ameaças, alegando que fora até lá à mando de um traficante para quem MARCELO MELO deveria a quantia de R$-500,00 proveniente de compra de droga e que se o pagamento não fosse efetuado até hoje, não só invadiria a casa para pegar tudo o que de valor houvesse, como também mataria quem lá se encontrasse, fato quie a deixou bastante sobressaltada temendo que algo de ruím lhe acontecesse e a seus filhos, dai porque, como forma de preservar sua integridade fisica e dos fihos, resolveu ir morar na companhia de sua genitora, entretanto vários bens do casal, geladeira, máquina de lavar, dois televisores, armários, guarda-roupas, camas e objetos menores, ficaram todos na residencia.Ressalta que em outras ocasiões, também em condições semelhantes, se viu obrigada a sair de casa, mas seu esposo a procura e a faz retornar para casa sob alegação de que a denunciaria por abandono de lar, motivo pelo qual resolveu efetuar o presente registro.</p>",Nao informado,MANHA,1 SEMESTRE DE 2019,AMEACA
Nao informado,Nao informado,QUI,JUNHO,2023,2023-06-15,IMPORTUNACAO SEXUAL,Nao informado,DEVASSIDÃO,OUTROS MEIOS,GUAMA,VIA PUBLICA,ADULTO II (25 A 29 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL INCOMPLETO,VIZINHO(A),"<P>A RELATORA ACIMA QUALIFICADA COMPARECEU NESTA UNIDADE POLICIAL PARA COMUNICAR QUE VEM SENDO VITIMA DE IMPORTUNACAO SEXUAL PELO NACIONAL CONHECIDO COMO “CABOCO”, QUE E SEU VIZINHO, E RESIDENTE NA RUA JOAO DE DEUS, PASSAGEM LIVRAMENTO, S/N, BAIRRO GUAMA; QUE, SEMPRE QUE PASSA PELO REFERIDO NACIONAL ELE CHAMA A RELATORA DE “GOSTOSA” E AFIRMA QUE QUER MANTER RELACAO SEXUAL COM ELA; QUE, HOJE “CABOCO” AO VER A FILHA DA RELATORA NA RUA, A QUAL TEM DEZ ANOS DE IDADE, A CHAMOU PARA SENTAR AO SEU LADO, E QUANDO ELA NEGOU, ELE MOSTROU A SUA LINGUA. REGISTRA-SE.</P>",M,TARDE,1 SEMESTRE DE 2023,IMPORTUNACAO SEXUAL
COMERCIO - 6ª SECCIONAL - 1ª RISP - 1ª AISP,SAO BRAS - 2º SECCIONAL -1º RISP- 2ª AISP,DOM,DEZEMBRO,2020,2020-12-27,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,FATIMA,OUTROS LOCAIS,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL INCOMPLETO,NAO INFORMADO,"<p>A Relatora vem a esta Seccional informar que no local, data e hora supracitados foi vítima de ameaça praticada por ROSILENE ALVES TENÓRIO, que reside na VILA SANTA TERESINHA, Nº 56 FUNDOS, LOCALIZADA NA 9 DE JANEIRO, ENTRE DOMINGOS BARREIRO E ANTONIO BARRETO, FÁTIMA. A citada pronunciou contra a Relatora o seguinte: “SE VOCÊ NÃO PARAR DE FALAR COM A TATIANA EU VOU MANDAR OS CARAS TE PEGAR” (TEXTUAIS). Registre-se para as devidas providências legais./////</p>",F,TARDE,2 SEMESTRE DE 2020,AMEACA
Nao informado,Nao informado,DOM,JANEIRO,2023,2023-01-08,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,PARACURI,RESIDENCIA PARTICULAR,ADULTO I (18 A 24 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,NAO INFORMADO,"<P>/////// A RELATORA COMPARECEU NESTA SECCIONAL PARA INFORMAR QUE NO DIA 08/01/2023, ADUZ QUE POR VOLTAR DAS 20:30HS A RELATORA ESTAVA PREPARANDO O MINGAU DO SEU FILHO QUANDO A NACIONAL ISABEL DISSE PARA A RELATORA QUE O FILHO DELA MEXE EM TUDO DA CASA E QUEBRA TUDO, SENDO QUE A RELATORA FOIDEFENDER O SEU FILHO, O QUAL TEM UM ANO E UM MES DAS OFENCAS PROFERIDAS POR ISABEL E AS MESMAS FORAM A VIAS DE FATOS. VALE RESSALTAR QUE O PADATRO DO MARIDO DA RELATORA INTERVIU PARA QUE AMBAS PARACEM DE SE AGREDIREM. OCORRE QUE ISABEL PROFERIU OS SEGUINTES TEXTUAIS PARA RELATORA ""QUE IRIA QUEBRA A CARA E TIRAR SANGUE"". REGISTRA - SE PARA FINS DE DIREITOS LEGAIS.///////</P>",Nao informado,NOITE,1 SEMESTRE DE 2023,AMEACA
DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,DOM,JUNHO,2020,2020-06-21,AMEACA,VIOLENCIA DOMESTICA,OUTRAS,OUTROS MEIOS,CREMACAO,RESIDENCIA PARTICULAR,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL COMPLETO,NAO INFORMADO,"<p>A relatora acima qualificada compareceu nesta Especilizada para registrar contra seu ex companheiro o Sr.<b>ANIVALDO RODRIGUES SILVA</b>,RG-3480449,Filho de Anivaldo Duarte da Silva e Hermenegilda Rodrigues Silva,Pintor,Residente na Passagem Mucajas n.90 (Fundos),ao lado da Mercearia Mucajas,entre : Alcindo Cacela e 14 DE Março,Bairro da Cremação.Que conviveram maritalmente por 3 anos e não tem filhos dessa união ( a relatora 4 filhos de relacionamento anterior).Que Anivaldo sempre foi muito agressivo e violênto e durante a convivencia a relatora sempre sofreu violência domestica,foi sagredida fisicamente diversas vezes.Que estão separados há 1 anos e Anivaldo está lhe perseguindo e ameaçando&nbsp;.Que a relatora registrou ocorrência e solicitou Medidas Protetivas a qual foi deferida no Processo Nº 0009844-07.2019.8.14.0401,PORÉM NÃO FOI CUMPRIDO.Que Anivaldo mora proximo da residencia da relatoria ,frequenta um bar em frente a sua casa e tem o habito de invadir seu imóvel,lhe agride e leva seus pertences.Que dia 19/06/2020 Anivaldo lhe encontrou na rua ,&nbsp;correu atraz da relatora ,segurou seu braço com violência e lhe desferiu vários socos em seu rosto e em sua cabeça . Que dia 20/06/2020 Anivaldo invadiu seu imóvel ,levou uns perfumes e toda a sua documentação (Carteira de Identidade,CPF,Cartão do Sus,Certidão de Nascimento da relatora e de seus filhos).Que ontem dia 21/06/2020 por volta das 10:30h a relatora estava em sua residencia quando Anivaldo começou a meter o pé no portão querendo entrar.Que a relatora ameaçou chamar a policia.Que Anivaldo lhe ameaçou dizendo (textuais):"" SE TU NÃO FICAR COMIGO ,NÃO VAI FICAR COM NINGUÉM,EU VOU TE MATAR !""Que a relatora está com muito medo e foi se abrigar na casa de uma amiga .Que a relatora afirma que Anivaldo costuma andar armado com uma faca e ele diz que essa coisa de Jusctiça não dá em nada.Que foi oferecido abrigo público e não foi aceito.Que a relatora deseja representar contra .ANIVALDO RODRIGUES SILVA pelas ameaças e como já solicitou as Medidas Protetivas no processo de Nº 0009844-07.2019.8.14.0401,a relatora espera pelo Cumprimento da mesma.<br></p>",M,MANHA,1 SEMESTRE DE 2020,AMEACA
Nao informado,Nao informado,TER,SETEMBRO,2022,2022-09-06,AMEACA,Nao informado,ÓDIO OU VINGANÇA,SEM INSTRUMENTO,TENONE,RESIDENCIA PARTICULAR,ADULTO II (25 A 29 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,NAO INFORMADO,"<P>FOI AMEACADA/AGREDIDA FISICAMENTE POR SEU EX-NAMORADO DAILSON DO NASCIMENTO PEREIRA,RG.3458390, CPF. 705.932.722 - 34 NASCIDO NO DIA 18/07/1982, FILHO DE MARIA RAIMUNDA SOARES NASCIMENTO, RESIDENTE NA PS. SANTA CLARA Nº194-A, BAIRRO QUARENTA HORAS/ANANINDEUA, CONTATO 98183 7418. INFORMA QUE O CASAL ESTA SEPARADO HA UM MES E O NACIONAL NAO ACEITA A SEPARACAO E FREQUENTA A CASA DA DECLARANTE EM QUALQUER HORARIO. NO DIA 06 DE SETEMBRO, A DECLARANTE ESTAVA CONVERSANDO COM UM AMIGO A RESPEITO DE MATERIAL DE TRABALHO E O NACIONAL SE APROXIMOU DE AMBOS E PASSOU A AGREDIR FISICAMENTE TANTO A DECLARANTE QUANTO SEU AMIGO E DANIFICOU O COMPUTADOR DO NACIONAL. A DECLARANTE PEGOU SEU APARELHO DE TELEFONE CELULAR E FEZ MENCAO DE ACIONAR A POLICIA E DAILSON PEGOU UMA FACA E COLOCOU NA REGIAO DO ABDOMEM DE AMANDA E GESTICULOU EM FURA-LA. O NACIONAL SAIU DO LOCAL E LEVOU A CHAVE DA PORTA DA DECLARANTE E DEPOIS ENVIOU MENSAGEM PARA ELA MANDAR BUSCAR A CHAVE COM ELE. RESSALTA QUE O NACIONAL E AGRESSIVO E NAO QUER QUE ELE VOLTE A IMPORTUNA-LA. A DECLARANTE REPRESENTA CRIMINALMENTE CONTRA DAILSON DO NASCIMENTO PEREIRA, NAO SOLICITA ABRIGO PUBLICO E APRESENTOU TESTEMUNHAS DOS FATOS. QUANTO AS MEDIDAS PROTETIVAS SOLICITA: A PROIBICAO DO AGRESSOR EM SE APROXIMAR DA OFENDIDA; A PROIBICAO DO AGRESSOR EM FREQUENTAR O ENDERECO DA OFENDIDA ; A PROIBICAO DO AGRESSOR EM MANTER CONTATO COM A OFENDIA POR QUALQUER MEIO DE COMUNICACAO. A DECLARANTE NAO APRESENTA HEMATOMAS.</P>",Nao informado,TARDE,2 SEMESTRE DE 2022,AMEACA
Nao informado,Nao informado,SEG,AGOSTO,2023,2023-08-07,AMEACA,Nao informado,AMBIÇÃO,OUTROS MEIOS,CASTANHEIRA,ESTABELECIMENTO BANCARIO,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,NAO INFORMADO,"<P>A RELATORA VEM A ESTA SECCIONAL ACOMPANHADA DE SEU MARIDO JOSE ALBERTO DE OLIVEIRA COSTA , COMUNICAR QUE NA DATA E HORA , FECHOU UM PACOTE DE VIAGEM DAVI TURISMO , TV I , Nº231 GLEBA 03 BAIRRO CASTANHEIRA , PROPRIETARIO GLAUCO MAFRA E GLAUBER MAFRA DE OLIVEIRA , PACOTE ESTE QUE FOI FECHADO NO VALOR DE R$1.100,00 ,REAIS , PARA CHAPADA DAS MINAS NO MARANHAO , QUE ERA PARA O DIA, 21/07/2023 A 24/07/2023 , MAIS POR MOTIVO DE DOENCA A RELATOR E SEU MARIDO DESISTIRAM DA VIAGEM MAIS MUITO ANTES PASSARAM UMA MENSAGEM INFORMADO O CANCELAMENTO DA VIAGEM NO DIA 04/07/2023, E PEDIU A DEVOLUCAO DO DINHEIRO NO DIA SEGUINTE SEU ESPOSO FOI INFORMADO RESOLVERIA O PROBLEMA PARA DIA 27/07/2023,O MESMO NAO RETORNOU COM A RESPOSTA , O RELATOR LIGOU PARA O GLAUBER QUE NA TENTATIVA DE SOLUCIONAR O PROBLEMA SO CONSEGUIU DEVOLVER APENAS DUZENTOS REAIS, DE 1.100,00 , E ATE A PRESENTE DATA NADA FOI RESOLVIDO , QUANDO A RELATORA TENTOU FALAR COM GLAUCO ESTE PASSOU A AMEACAR A RELATORA , E AGREDIR VERBALMENTE A RELATORA , COM OS SEGUINTES TEXTUAIS ‘ (E MELHOR VOCE CALAR SUA BOCA FICA NA TUA SE NAO ISSO VAI PIORAR , ENFIA ESTES PRINTES NO CU, PRINTE MAIS ESSA E VAI TE FODER), O MESMO AINDA FALOU QUE BNAO ESTAVA NEM AI PARA DOENCA DE SEU FILHO , REGISTRA-SE PARA DEVIDOS FINS .</P>",Nao informado,TARDE,2 SEMESTRE DE 2023,AMEACA
"ICOARACI - 8ª SECCIONAL - 1ª RISP - 11ª, 12ª E 13ª AISP ","ICOARACI - 8ª SECCIONAL - 1ª RISP - 11ª, 12ª E 13ª AISP ",SEX,JUNHO,2019,2019-06-28,LESAO CORPORAL,Nao informado,OUTRAS,SEM INSTRUMENTO,MARACACUERA,VIA PUBLICA,IDOSO (65 ANOS OU MAIS),F,PREJUDICADO,ENSINO FUNDAMENTAL COMPLETO,NAO INFORMADO,"<p>A relatora compareceu nesta 8ª Seccional de Icoaraci, para relatar que na data e hora acima descrita, foi agredida fisicamente pela nacional ANA CARLA DOS SANTOS, em virtude de ter ido até a casa dela para cobrar uma divida; REGISTRE-SE/////////////////</p>",Nao informado,TARDE,1 SEMESTRE DE 2019,LESAO CORPORAL
